Segment,Miles,Accidents
1,1.5,0
2,2.9,0
3,1.49,0
4,0.39,0
5,3.89,0
6,2.03,0
7,0.91,0
8,0.89,0
9,0.97,0
10,2.16,0
11,0.04,0
12,1.12,1
13,2.26,0
14,3.6,1
15,1.94,0
16,0.41,1
17,2,0
18,0.9,0
19,0.9,0
20,0.9,0
21,0.1,0
22,0.88,1
23,0.91,0
24,6.84,2
25,3.14,3
26,2.98,0
27,0.77,0
28,0.12,0
29,1.95,0
30,0.9,0
31,0.93,1
32,0.91,1
33,2.92,1
34,0.92,0
35,1.89,0
36,0.87,1
37,0.89,0
38,0.89,0
39,2.88,0
40,0.87,1
41,2.15,0
42,0.65,0
43,1.87,0
44,1.9,0
45,2,0
46,3.36,0
47,2.41,0
48,0.05,0
49,0.5,0
50,2.03,0
51,1.63,0
52,1.2,1
53,1.94,0
54,1.91,0
55,1.92,0
56,0.14,0
57,1.03,0
58,0.9,0
59,6.49,1
60,1.82,0
61,2.84,0
62,0.95,0
63,0.9,0
64,0.9,0
65,0.9,0
66,0.93,0
67,0.89,0
68,1.91,0
69,1.9,0
70,2.04,1
71,1.32,0
72,0.34,0
73,0.9,0
74,0.9,0
75,0.87,0
76,0.9,0
77,0.9,0
78,0.9,0
79,0.9,0
80,0.91,1
81,1.95,0
82,1.74,1
83,0.91,0
84,0.75,0
85,0.75,0
86,0.14,0
87,2.6,1
88,0.94,0
89,0.76,0
90,1.89,1
91,1.27,1
92,0.9,0
93,0.9,0
94,1.4,0
95,0.86,0
96,0.37,0
97,5.01,2
98,0.9,0
99,0.9,0
100,0.94,0
101,2.34,0
102,1.17,0
103,2.08,0
104,0.78,0
105,1.1,1
106,0.14,2
107,0.01,0
108,0.89,0
109,0.91,0
110,0.91,0
111,4.57,0
112,1.6,0
113,0.28,0
114,0.43,0
115,0.11,0
116,3.33,1
117,0.9,0
118,0.84,0
119,0.68,2
120,3.56,1
121,3.28,0
122,3.96,0
123,1.26,0
124,0.1,0
125,0.9,0
126,0.9,0
127,0.91,0
128,0.9,0
129,0.9,0
130,0.86,1
131,0.44,0
132,1.39,1
133,1.49,0
134,0.17,0
135,0.16,0
136,1.19,1
137,2.37,1
138,0.9,0
139,1.93,0
140,0.91,0
141,0.9,0
142,1.92,0
143,3.24,0
144,0.53,0
145,0.97,0
146,0.89,0
147,0.19,0
148,0.71,0
149,2.87,0
150,3.91,0
151,0.14,0
152,2.83,2
153,0.4,0
154,0.08,0
155,1.73,0
156,0.04,0
157,1.54,1
158,1.73,0
159,5.09,4
160,2.13,0
161,3.26,0
162,2.71,0
163,5.03,5
164,3.82,0
165,3.04,0
166,1.39,2
167,0.96,1
168,1.93,0
169,0.86,0
170,1.88,0
171,0.9,0
172,1.91,0
173,1.91,0
174,0.89,0
175,0.91,0
176,4.54,0
177,2.9,1
178,1.23,0
179,0.9,0
180,0.9,0
181,0.45,0
182,0.16,0
183,0.91,0
184,0.91,0
185,0.35,0
186,3.32,1
187,0.87,0
188,0.33,0
189,0.79,0
190,0.59,0
191,0.28,0
192,0.91,1
193,0.91,0
194,0.91,0
195,0.91,0
196,0.9,0
197,0.06,2
198,3.84,1
199,0.67,0
200,2.49,0
201,4.15,1
202,1.91,2
203,1.02,0
204,0.97,0
205,0.2,0
206,1.25,0
207,0.35,0
208,0.91,0
209,1.93,0
210,0.92,0
211,2.06,0
212,0.91,0
213,0.9,0
214,0.87,0
215,0.08,0
216,0.21,0
217,1.9,0
218,1.9,0
219,0.89,1
220,0.9,0
221,0.81,1
222,0.83,0
223,0.89,1
224,0.38,0
225,0.96,0
226,1.9,0
227,0.91,1
228,0.9,0
229,0.92,1
