Segment,Accidents ,Miles,AADT
1,0,1.5,60.30769231
2,0,2.9,100
3,0,1.49,100
4,0,0.39,100
5,0,3.89,100
6,0,2.03,106.1538462
7,0,0.91,111.2307692
8,0,0.89,121.75
9,1,0.97,127
10,0,2.16,127
11,0,0.04,138
12,1,1.12,138
13,0,2.26,138
14,2,3.6,138
15,0,1.94,138
16,1,0.41,138
17,1,2,139.6153846
18,0,0.9,139.6153846
19,0,0.9,139.6153846
20,0,0.9,139.6153846
21,0,0.1,139.6153846
22,1,0.88,153.3846154
23,0,0.91,153.3846154
24,2,6.84,158.6153846
25,7,3.14,165.7692308
26,0,2.98,168.4615385
27,0,0.77,168.5
28,0,0.12,168.5
29,0,1.95,168.5
30,0,0.9,168.5
31,2,0.93,171.6923077
32,3,0.91,171.6923077
33,1,2.92,171.6923077
34,0,0.92,171.6923077
35,0,1.89,173.8461538
36,1,0.87,173.8461538
37,0,0.89,173.8461538
38,0,0.89,173.8461538
39,0,2.88,173.8461538
40,1,0.87,173.8461538
41,0,2.15,175.3846154
42,0,0.65,175.3846154
43,0,1.87,175.3846154
44,1,1.9,175.3846154
45,0,2,175.3846154
46,1,3.36,175.3846154
47,0,2.41,175.3846154
48,0,0.05,175.3846154
49,0,0.5,175.3846154
50,0,2.03,175.3846154
51,0,1.63,175.3846154
52,1,1.2,175.3846154
53,0,1.94,176.625
54,0,1.91,176.625
55,0,1.92,176.625
56,0,0.14,176.625
57,0,1.03,176.625
58,0,0.9,176.625
59,1,6.49,176.625
60,0,1.82,176.625
61,1,2.84,185.9230769
62,0,0.95,185.9230769
63,0,0.9,185.9230769
64,0,0.9,185.9230769
65,0,0.9,185.9230769
66,0,0.93,189.3846154
67,0,0.89,189.3846154
68,0,1.91,189.3846154
69,0,1.9,189.3846154
70,1,2.04,189.3846154
71,1,1.32,189.3846154
72,0,0.34,190.2307692
73,0,0.9,196.7692308
74,0,0.9,196.7692308
75,0,0.87,196.7692308
76,0,0.9,196.7692308
77,0,0.9,196.7692308
78,0,0.9,196.7692308
79,0,0.9,196.7692308
80,1,0.91,204.7692308
81,0,1.95,211.5
82,1,1.74,211.5
83,0,0.91,211.5
84,0,0.75,211.5
85,0,0.75,211.5
86,0,0.14,211.5
87,2,2.6,217.7692308
88,0,0.94,221.8461538
89,0,0.76,224.7692308
90,2,1.89,224.7692308
91,1,1.27,224.7692308
92,0,0.9,227.8461538
93,0,0.9,227.8461538
94,0,1.4,227.8461538
95,0,0.86,227.8461538
96,0,0.37,227.8461538
97,2,5.01,227.8461538
98,0,0.9,227.8461538
99,0,0.9,227.8461538
100,0,0.94,237
101,2,2.34,237
102,0,1.17,237
103,1,2.08,237
104,0,0.78,237
105,1,1.1,241.2307692
106,2,0.14,241.2307692
107,0,0.01,245.8461538
108,0,0.89,253.75
109,0,0.91,253.75
110,0,0.91,253.75
111,1,4.57,259.6923077
112,0,1.6,259.6923077
113,0,0.28,259.6923077
114,0,0.43,259.6923077
115,0,0.11,259.6923077
116,1,3.33,260.1538462
117,0,0.9,261.25
118,0,0.84,261.25
119,2,0.68,262.8461538
120,1,3.56,262.8461538
121,1,3.28,262.8461538
122,2,3.96,262.8461538
123,0,1.26,262.8461538
124,0,0.1,265.0769231
125,0,0.9,266.1538462
126,0,0.9,266.1538462
127,0,0.91,266.1538462
128,0,0.9,266.1538462
129,0,0.9,266.1538462
130,1,0.86,268.4615385
131,0,0.44,269.8461538
132,1,1.39,269.8461538
133,1,1.49,269.8461538
134,0,0.17,274.6923077
135,0,0.16,274.6923077
136,2,1.19,274.6923077
137,2,2.37,274.6923077
138,0,0.9,275.3846154
139,0,1.93,275.3846154
140,0,0.91,275.3846154
141,0,0.9,275.3846154
142,0,1.92,275.3846154
143,1,3.24,276.3846154
144,0,0.53,276.3846154
145,0,0.97,276.3846154
146,1,0.89,281.6923077
147,0,0.19,281.6923077
148,0,0.71,281.6923077
149,2,2.87,281.6923077
150,2,3.91,281.6923077
151,0,0.14,286
152,2,2.83,286
153,0,0.4,287.6153846
154,0,0.08,287.6153846
155,0,1.73,288.2307692
156,0,0.04,291.3846154
157,2,1.54,292.0769231
158,0,1.73,292.0769231
159,5,5.09,294.5384615
160,0,2.13,294.5384615
161,1,3.26,294.5384615
162,1,2.71,294.5384615
163,6,5.03,294.5384615
164,1,3.82,296.9230769
165,0,3.04,296.9230769
166,2,1.39,296.9230769
167,1,0.96,299.0769231
168,1,1.93,299.0769231
169,0,0.86,299.0769231
170,0,1.88,299.0769231
171,0,0.9,299.0769231
172,0,1.91,299.0769231
173,0,1.91,299.0769231
174,0,0.89,308.4615385
175,0,0.91,308.4615385
176,0,4.54,309.25
177,2,2.9,309.25
178,0,1.23,313.625
179,0,0.9,313.625
180,0,0.9,313.625
181,0,0.45,313.625
182,0,0.16,313.625
183,0,0.91,313.625
184,0,0.91,313.625
185,0,0.35,313.625
186,1,3.32,313.625
187,0,0.87,313.6923077
188,0,0.33,313.6923077
189,0,0.79,315.1538462
190,0,0.59,315.1538462
191,0,0.28,315.1538462
192,1,0.91,315.1538462
193,0,0.91,316.125
194,0,0.91,316.125
195,0,0.91,316.125
196,0,0.9,316.125
197,4,0.06,316.1538462
198,5,3.84,317.3076923
199,0,0.67,320.3846154
200,1,2.49,320.3846154
201,3,4.15,320.6923077
202,4,1.91,320.6923077
203,1,1.02,320.6923077
204,0,0.97,320.6923077
205,0,0.2,320.6923077
206,1,1.25,322
207,0,0.35,322
208,0,0.91,322
209,0,1.93,322
210,0,0.92,322
211,0,2.06,322
212,0,0.91,322
213,1,0.9,322
214,2,0.87,322
215,0,0.08,322
216,0,0.21,322
217,0,1.9,322
218,1,1.9,322
219,1,0.89,325.8461538
220,0,0.9,325.8461538
221,1,0.81,325.8461538
222,0,0.83,325.8461538
223,1,0.89,325.8461538
224,1,0.38,325.8461538
225,0,0.96,325.8461538
226,1,1.9,325.8461538
227,1,0.91,325.8461538
228,1,0.9,325.8461538
229,2,0.92,325.8461538
230,0,1.76,325.8461538
231,0,2.43,325.8461538
232,1,0.91,326.125
233,0,0.89,326.125
