age,year,slip,pop
12,2001,0,5212
12,2002,0,5629
12,2003,0,5490
12,2004,0,5322
12,2005,0,5316
12,2006,0,5240
12,2007,0,4826
12,2008,0,4653
12,2009,0,4514
12,2010,0,4716
12,2011,2,4497
12,2012,0,4648
12,2013,0,4846
12,2014,0,5013
12,2015,0,5302
12,2016,0,5448
13,2001,0,5055
13,2002,0,5237
13,2003,0,5608
13,2004,0,5515
13,2005,0,5306
13,2006,0,5334
13,2007,0,5251
13,2008,0,4843
13,2009,0,4677
13,2010,0,4553
13,2011,0,4752
13,2012,0,4550
13,2013,0,4743
13,2014,0,4899
13,2015,0,5088
13,2016,0,5326
14,2001,0,4814
14,2002,0,5086
14,2003,0,5240
14,2004,0,5628
14,2005,0,5519
14,2006,0,5341
14,2007,0,5332
14,2008,0,5315
14,2009,0,4869
14,2010,0,4745
14,2011,1,4602
14,2012,1,4811
14,2013,0,4636
14,2014,0,4845
14,2015,0,4982
14,2016,0,5183
15,2001,0,4644
15,2002,0,4881
15,2003,0,5128
15,2004,0,5266
15,2005,0,5645
15,2006,0,5539
15,2007,0,5359
15,2008,0,5362
15,2009,0,5379
15,2010,0,4926
15,2011,0,4824
15,2012,0,4663
15,2013,0,4903
15,2014,0,4752
15,2015,0,4936
15,2016,0,5076
16,2001,0,4771
16,2002,0,4741
16,2003,0,4929
16,2004,0,5230
16,2005,0,5336
16,2006,0,5711
16,2007,1,5658
16,2008,0,5427
16,2009,1,5468
16,2010,2,5490
16,2011,5,5037
16,2012,0,4908
16,2013,2,4826
16,2014,3,5070
16,2015,2,4915
16,2016,4,5164
17,2001,0,4719
17,2002,0,4821
17,2003,0,4780
17,2004,0,4994
17,2005,0,5270
17,2006,0,5391
17,2007,1,5804
17,2008,1,5786
17,2009,0,5541
17,2010,3,5557
17,2011,2,5580
17,2012,0,5160
17,2013,0,5052
17,2014,0,4954
17,2015,1,5234
17,2016,2,5098
18,2001,0,4539
18,2002,0,4795
18,2003,1,4930
18,2004,0,4910
18,2005,0,5081
18,2006,0,5424
18,2007,1,5516
18,2008,0,5949
18,2009,2,5953
18,2010,8,5710
18,2011,1,5695
18,2012,2,5706
18,2013,3,5321
18,2014,0,5232
18,2015,1,5171
18,2016,1,5511
19,2001,0,5270
19,2002,0,5062
19,2003,0,5300
19,2004,3,5424
19,2005,0,5452
19,2006,0,5626
19,2007,0,5937
19,2008,1,6143
19,2009,1,6578
19,2010,4,6500
19,2011,3,6215
19,2012,2,6207
19,2013,3,6279
19,2014,2,5912
19,2015,3,5715
19,2016,3,5681
20,2001,0,5977
20,2002,0,5995
20,2003,1,5821
20,2004,0,6100
20,2005,0,6248
20,2006,0,6364
20,2007,0,6532
20,2008,3,6799
20,2009,0,6892
20,2010,8,7296
20,2011,4,7376
20,2012,0,6963
20,2013,0,6991
20,2014,2,7032
20,2015,2,6635
20,2016,3,6341
21,2001,0,7055
21,2002,0,6829
21,2003,1,6722
21,2004,0,6647
21,2005,0,6941
21,2006,0,7260
21,2007,0,7270
21,2008,0,7445
21,2009,0,7759
21,2010,2,7727
21,2011,5,8282
21,2012,4,8185
21,2013,3,7807
21,2014,0,7918
21,2015,3,7822
21,2016,5,7272
22,2001,0,7457
22,2002,0,7727
22,2003,0,7474
22,2004,3,7477
22,2005,2,7473
22,2006,0,7851
22,2007,0,8158
22,2008,2,8120
22,2009,4,8271
22,2010,11,8590
22,2011,2,8575
22,2012,5,9098
22,2013,2,8988
22,2014,2,8720
22,2015,1,8763
22,2016,5,8619
23,2001,0,7693
23,2002,0,8112
23,2003,1,8363
23,2004,1,8102
23,2005,0,8294
23,2006,0,8224
23,2007,0,8587
23,2008,0,8918
23,2009,1,8891
23,2010,4,9060
23,2011,4,9427
23,2012,6,9289
23,2013,0,9858
23,2014,4,9799
23,2015,2,9490
